Rank     Team                            W-L-T    Rating
534        Harding                         4-1-0    10.9013
535        Tulane                          0-1-0    10.8968
536        UC-Davis                        2-3-0    10.8957
537        West Georgia                    4-2-0    10.8621
538        Wake Forest                     0-2-0    10.8279
539        Nevada                          0-1-0    10.7114
540        Bethune-Cookman                 0-1-0    10.7114
541        Maryland                        0-1-0    10.7114
542        Bryant                          2-2-0    10.6804
543        Ohio Northern                   3-0-0    10.6355
544        Ashland                         2-2-0    10.6288
545        St Thomas                       4-1-0    10.5304
546        Hampden-Sydney                  4-1-0    10.4751
547        Washburn                        3-2-0    10.4651
548        Slippery Rock                   4-3-0    10.3913
549        UW-Oshkosh                      3-2-0    10.3697
550        Harding                         5-1-0    10.258
551        Mary                            3-3-0    10.2526
552        South Florida                   1-4-0    10.2422
553        Temple                          1-4-0    10.2347
554        Appalachian St                  2-4-0    10.1162
555        Baker                           7-1-0    10.1029
556        Monmouth NJ                     2-2-0    10.0466
557        Presbyterian                    0-1-0    10.0196
558        St Joseph's IN                  1-0-0    10.0
559        Westminster PA                  1-0-0    10.0
560        Maine                           0-1-0    9.9948
561        Western Carolina                2-3-0    9.9611
562        Western Michigan                1-5-0    9.8968
563        Pennsylvania                    1-2-0    9.8184
564        Tusculum                        3-2-0    9.7145
565        Samford                         4-4-0    9.6762
566        Northwestern IA                 4-0-0    9.6665
567        Abilene Christian               2-5-0    9.6636
568        Yale                            2-3-0    9.6033
569        Eastern Kentucky                0-1-0    9.4796
570        Missouri Valley                 5-1-0    9.4258
571        American Int'l                  5-1-0    9.3718
572        Louisiana Tech                  2-4-0    9.3665
573        Air Force                       0-5-0    9.3469
574        Georgia St                      0-2-0    9.3137
575        Lehigh                          4-2-0    9.2783
576        UC-Davis                        3-1-0    9.2694
577        Indiana St                      1-3-0    9.2536
578        Colorado Mines                  5-1-0    9.2386
579        Howard                          3-1-0    9.2118
580        Connecticut                     1-4-0    9.1727
581        South Dakota                    1-4-0    9.1452
582        Shepherd                        5-0-0    9.109
583        Louisiana-Monroe                2-3-0    9.1013
584        Alabama-Birmingham              1-4-0    9.0322
585        Tulsa                           0-2-0    9.0038
586        Baldwin Wallace                 3-0-0    8.9923
587        Colorado                        0-1-0    8.9767
588        Boise St                        0-1-0    8.9767
589        James Madison                   0-4-0    8.8299
590        Norfolk St                      2-1-0    8.8096
591        New Mexico                      1-5-0    8.7899
592        Duquesne                        0-1-0    8.764
593        Marist                          4-2-0    8.7514
594        Alabama-Birmingham              1-6-0    8.7392
595        Old Dominion                    2-4-0    8.7274
596        Chowan                          2-1-0    8.7194
597        Virginia                        0-3-0    8.584
598        West Chester                    7-1-0    8.5385
599        Central Michigan                3-3-0    8.5068
600        Tuskegee                        3-1-0    8.492
601        Wash & Jeff                     4-0-0    8.477
602        Upper Iowa                      3-2-0    8.4102
603        Angelo St                       2-4-0    8.376
604        Ursinus                         4-1-0    8.3292
605        Randolph-Macon                  3-2-0    8.3174
606        Mercer                          8-0-0    8.2989
607        Colorado Mesa                   3-2-0    8.068
608        Hillsdale                       3-3-0    8.0171
609        Concord                         4-1-0    8.0166
610        Midwestern St                   3-2-0    8.003
611        Findlay                         3-2-0    7.9743
612        Eastern Kentucky                2-2-0    7.9731
613        Valdosta St                     3-2-0    7.7568
614        Hawai`i                         0-5-0    7.7413
615        TCU                             0-1-0    7.7187
616        Concordia-Moorhead              4-1-0    7.69
617        TAMU-Commerce                   3-3-0    7.6669
618        Michigan Tech                   3-1-0    7.6172
619        Arkansas St                     0-1-0    7.5816
620        Chadron St                      4-1-0    7.5277
621        Louisiana-Lafayette             0-1-0    7.522
622        Akron                           0-1-0    7.4294
623        Prairie View A&M                4-1-0    7.4276
624        Murray St                       1-4-0    7.3715
625        Charleston Southern             6-2-0    7.3641
626        California PA                   3-2-0    7.3592
627        South Dakota                    0-1-0    7.3541
628        Towson                          0-1-0    7.3541
629        Shippensburg                    4-1-0    7.3443
630        Southern U.                     5-2-0    7.3208
631        Southern Miss                   1-4-0    7.2566
632        Fayetteville St                 3-3-0    7.2078
633        Elon                            0-1-0    7.1738
634        Georgetown KY                   4-1-0    7.1438
635        New Haven                       4-2-0    7.1053
636        Elon                            1-4-0    7.0443
637        St John's MN                    4-1-0    6.9092
638        Army                            0-1-0    6.9054
639        Idaho St                        3-3-0    6.8698
640        St Cloud St                     6-0-0    6.8378
641        Eastern Kentucky                0-2-0    6.834
642        American Int'l                  4-1-0    6.825
643        Wartburg                        4-1-0    6.7606
644        Bryant                          3-4-0    6.7455
645        Case Western Reserve            3-0-0    6.7287
646        Purdue                          0-3-0    6.6933
647        Pacific Lutheran                4-0-0    6.6873
648        UW-Stevens Point                3-1-0    6.6565
649        Central Conn St                 2-4-0    6.6412
650        New Mexico St                   2-5-0    6.6388
651        Purdue                          0-2-0    6.6218
652        Lake Erie                       4-2-0    6.5999
653        Marist                          4-1-0    6.5619
654        Appalachian St                  2-2-0    6.441
655        Missouri Southern               0-1-0    6.431
656        UW-Stout                        2-2-0    6.3334
657        Ouachita Baptist                3-2-0    6.3267
658        Geneva                          5-0-0    6.3262
659        St Norbert                      5-0-0    6.3257
660        Wheaton                         4-1-0    6.2879
661        Central IA                      4-1-0    6.2808
662        East Stroudsburg                3-2-0    6.28
663        Jackson St                      4-1-0    6.2404
664        Rhodes                          5-0-0    6.2297
665        Delaware                        0-1-0    5.9054
666        James Madison                   0-1-0    5.678
667        Monmouth IL                     4-2-0    5.6647
668        Syracuse                        0-2-0    5.6483
669        Southern Miss                   0-2-0    5.6061
670        Kentucky St                     3-1-0    5.5068
671        SE Missouri St                  1-5-0    5.4861
672        Northern Colorado               1-5-0    5.4643
673        Heidelberg                      4-1-0    5.4287
674        SW Minnesota St                 5-2-0    5.4054
675        UTEP                            1-4-0    5.4009
676        Tuskegee                        5-2-0    5.3517
677        Indiana St                      0-1-0    5.328
678        Jacksonville FL                 4-1-0    5.3195
679        Hobart                          5-0-0    5.2652
680        St Francis IN                   4-1-0    5.2516
681        Catawba                         4-1-0    5.2248
682        Mercyhurst                      3-3-0    5.19
683        Western St CO                   2-2-0    5.1505
684        Army                            1-5-0    5.0918
685        Sam Houston St                  0-5-0    5.079
686        Western Michigan                0-1-0    5.0714
687        Albany NY                       0-5-0    5.0291
