Rank     Team                            W-L-T    Rating
413        UC-Davis                        0-1-0    18.4157
414        Army                            0-1-0    18.4157
415        Mary Hardin-Baylor              6-0-0    18.304
416        Idaho St                        2-4-0    18.2487
417        Bucknell                        3-1-0    18.2463
418        Linfield                        5-0-0    18.2133
419        Stony Brook                     2-2-0    18.2088
420        Azusa Pacific                   6-0-0    18.1682
421        Tulsa                           0-1-0    18.1403
422        Central IA                      4-0-0    18.0834
423        Southern Illinois               2-3-0    18.0492
424        Eastern Kentucky                0-2-0    17.9559
425        Troy                            2-4-0    17.953
426        Connecticut                     0-3-0    17.884
427        Eastern Illinois                3-1-0    17.8724
428        Tennessee St                    4-3-0    17.8705
429        St John Fisher                  3-1-0    17.8607
430        Alabama St                      5-1-0    17.8599
431        South Carolina St               4-1-0    17.7891
432        Yale                            3-0-0    17.6818
433        Sacred Heart                    5-2-0    17.6705
434        Heidelberg                      5-0-0    17.6572
435        Old Dominion                    3-2-0    17.6391
436        Middle Tennessee St             0-1-0    17.6182
437        Shepherd                        4-1-0    17.5516
438        Kent St                         1-3-0    17.4597
439        Rocky Mountain                  4-2-0    17.417
440        Widener                         6-0-0    17.3446
441        Northern Michigan               2-3-0    17.3364
442        Southern U.                     5-1-0    17.2559
443        Furman                          2-2-0    17.025
444        Johns Hopkins                   5-0-0    16.9739
445        Stony Brook                     3-2-0    16.9694
446        West Alabama                    3-2-0    16.9308
447        Jacksonville St                 0-1-0    16.8601
448        Missouri                        0-1-0    16.8114
449        Elon                            0-2-0    16.797
450        Northwestern St                 0-1-0    16.7887
451        Montana St                      2-2-0    16.759
452        Richmond                        4-2-0    16.7499
453        Sam Houston St                  3-2-0    16.6361
454        St Francis IL                   4-2-0    16.635
455        Charleston Southern             5-0-0    16.4554
456        Wesley                          4-0-0    16.3638
457        The Citadel                     3-3-0    16.3629
458        Lamar                           0-1-0    16.2386
459        Wartburg                        5-0-0    16.2364
460        Colorado Mines                  5-0-0    16.1306
461        Delta St                        5-0-0    15.9696
462        Northwood                       3-1-0    15.9501
463        Cal Poly SLO                    2-4-0    15.935
464        Western Illinois                0-2-0    15.8914
465        Grand Valley St                 3-3-0    15.8804
466        Colorado Mines                  5-1-0    15.8555
467        Sam Houston St                  0-1-0    15.8398
468        Louisiana-Monroe                0-1-0    15.8398
469        Kentucky                        0-1-0    15.8398
470        New Mexico St                   0-1-0    15.8398
471        Sacramento St                   4-2-0    15.7802
472        Mercyhurst                      4-1-0    15.7627
473        Notre Dame OH                   4-2-0    15.6703
474        UNLV                            2-5-0    15.6518
475        Western Carolina                2-3-0    15.5409
476        Georgetown KY                   5-0-0    15.5336
477        South Dakota                    2-3-0    15.4635
478        Northwestern                    0-1-0    15.3939
479        Monmouth NJ                     2-4-0    15.3564
480        Brown                           2-2-0    15.2106
481        Indianapolis                    5-1-0    15.1892
482        North Carolina Central          0-1-0    15.0304
483        Eastern Michigan                2-3-0    15.0134
484        Northwestern IA                 1-0-0    15.0
485        Gardner-Webb                    3-1-0    14.8714
486        Kent St                         1-4-0    14.8177
487        Georgia St                      0-1-0    14.6852
488        Eastern New Mexico              4-2-0    14.6582
489        Princeton                       3-0-0    14.6007
490        New Mexico St                   1-6-0    14.5106
491        UC-Davis                        1-4-0    14.4817
492        Miami OH                        0-6-0    14.4282
493        Hillsdale                       3-1-0    14.3469
494        TAMU-Commerce                   2-2-0    14.2213
495        Abilene Christian               3-3-0    14.1691
496        Montana-Western                 2-2-0    14.1435
497        Bethune-Cookman                 0-1-0    14.1403
498        Grambling St                    2-1-0    14.0175
499        Presbyterian                    1-0-0    14.0
500        Winston-Salem St                5-1-0    13.993
501        Montana                         2-4-0    13.9765
502        Albany NY                       3-3-0    13.9587
503        Mississippi Valley St           0-1-0    13.9561
504        South Carolina St               3-1-0    13.9393
505        Abilene Christian               3-3-0    13.9211
506        Clemson                         0-1-0    13.8128
507        Texas Lutheran                  5-0-0    13.7931
508        Hillsdale                       0-1-0    13.7657
509        Bethel MN                       4-1-0    13.7358
510        Hawai`i                         2-4-0    13.6097
511        Bloomsburg                      5-1-0    13.5879
512        Mississippi                     0-1-0    13.5871
513        SMU                             0-3-0    13.5841
514        Buffalo                         1-4-0    13.5803
515        SMU                             0-2-0    13.5356
516        St Francis PA                   3-1-0    13.5267
517        Akron                           0-1-0    13.5158
518        Grand View                      4-1-0    13.4537
519        Stony Brook                     0-1-0    13.4162
520        Tennessee Tech                  4-2-0    13.4054
521        Glenville St                    4-1-0    13.3311
522        Catawba                         3-1-0    13.2596
523        Wake Forest                     0-4-0    13.1784
524        St John Fisher                  5-0-0    13.1624
525        Chapman                         5-0-0    13.0997
526        SMU                             0-4-0    13.0518
527        Ohio Dominican                  1-0-0    13.0
528        Virginia St                     4-1-0    12.9833
529        San Diego                       6-0-0    12.922
530        Alcorn St                       3-2-0    12.7731
531        Chadron St                      4-2-0    12.7079
532        Mercer                          2-2-0    12.6499
533        South Alabama                   0-2-0    12.6111
534        Michigan                        0-1-0    12.5581
535        Angelo St                       4-2-0    12.5534
536        Lafayette                       3-1-0    12.548
537        Kent St                         0-2-0    12.495
538        Faulkner                        6-0-0    12.4928
539        Buffalo St                      4-1-0    12.4309
540        Army                            1-4-0    12.3676
541        Winston-Salem St                4-1-0    12.3246
542        William Penn                    3-2-0    12.303
543        Marian IN                       4-1-0    12.2989
544        Liberty                         3-2-0    12.2981
545        Dubuque                         3-1-0    12.2808
546        North Texas                     0-1-0    12.1676
547        Presbyterian                    1-3-0    12.0851
548        Albany NY                       3-2-0    12.0722
549        Augustana IL                    1-0-0    12.0
550        UW-Whitewater                   6-0-0    11.8434
551        Widener                         4-0-0    11.8372
552        Central Arkansas                1-4-0    11.8154
553        Holy Cross                      3-2-0    11.7992
554        Morningside                     3-1-0    11.7007
555        Harding                         5-0-0    11.6962
556        Maine                           3-2-0    11.5848
557        North Carolina Central          4-1-0    11.4555
558        Tuskegee                        3-1-0    11.4542
559        North Central                   5-0-0    11.3913
560        UNC-Charlotte                   2-3-0    11.295
561        Western Oregon                  4-0-0    11.2943
562        Virginia St                     5-0-0    11.2771
563        The Citadel                     1-4-0    11.2492
564        UW-Oshkosh                      3-0-0    11.2243
565        Lake Erie                       2-4-0    11.1447
566        Muhlenberg                      4-1-0    11.0638
567        St Xavier                       3-2-0    10.9885
568        John Carroll                    3-1-0    10.9348
569        Sacramento St                   2-3-0    10.8849
570        Ohio U.                         2-3-0    10.8072
571        Colgate                         4-1-0    10.776
572        Florida Tech                    4-2-0    10.6167
573        Reinhardt                       5-1-0    10.5452
574        Charleston Southern             0-2-0    10.4096
575        Gannon                          5-1-0    10.4023
576        Valdosta St                     4-1-0    10.3927
577        Tarleton St                     1-3-0    10.3871
578        Salisbury                       3-1-0    10.2945
579        Norfolk St                      3-1-0    10.2938
580        West Chester                    5-1-0    10.2655
581        Portland St                     2-2-0    10.2422
582        St Thomas                       5-1-0    10.0267
583        Mount Ida                       1-0-0    10.0
584        Montclair St                    1-0-0    10.0
585        Appalachian St                  3-2-0    9.9233
586        Coll of Idaho                   3-2-0    9.9
587        North Dakota St                 0-1-0    9.8762
588        Dayton                          4-1-0    9.8758
589        Southern Utah                   2-2-0    9.8246
590        LIU Post                        4-2-0    9.814
591        Troy                            1-4-0    9.7518
592        Rocky Mountain                  1-3-0    9.7453
593        SE Missouri St                  4-1-0    9.7318
594        Indianapolis                    4-1-0    9.6639
595        Slippery Rock                   5-1-0    9.6102
596        UW-Platteville                  4-0-0    9.5571
597        Redlands                        3-1-0    9.5526
598        Albany St GA                    3-0-0    9.544
599        Henderson St                    6-0-0    9.454
600        UW-Platteville                  3-1-0    9.4286
601        Northwood                       0-2-0    9.3997
602        Montana Tech                    1-4-0    9.3993
603        Northwood                       2-3-0    9.2797
604        Idaho                           0-5-0    9.2422
605        American Int'l                  5-0-0    9.2345
606        St John's MN                    5-0-0    9.185
607        McKendree                       2-3-0    9.1099
608        Delaware                        4-1-0    9.0156
609        Tiffin                          0-1-0    8.9529
610        South Dakota                    0-5-0    8.8762
611        North Carolina Central          2-3-0    8.8527
612        West Liberty                    4-1-0    8.7506
613        McNeese St                      0-1-0    8.6148
614        Ithaca                          4-1-0    8.4254
615        South Florida                   0-1-0    8.3183
616        Tiffin                          2-2-0    8.296
617        Duquesne                        1-4-0    8.2932
618        St Joseph's IN                  3-1-0    8.2815
619        Henderson St                    3-2-0    8.2637
620        Eastern Michigan                0-1-0    8.1838
621        Texas Southern                  4-2-0    8.0744
622        Tulane                          0-2-0    8.0517
623        SE Louisiana                    2-3-0    7.9585
624        Wofford                         1-5-0    7.9508
625        San Diego                       3-1-0    7.804
626        Delaware St                     1-1-0    7.7656
627        North Greenville                5-1-0    7.7289
628        Lehigh                          2-3-0    7.7019
629        New Haven                       2-3-0    7.5959
630        Mercyhurst                      3-2-0    7.4133
631        North Alabama                   4-1-0    7.382
632        Findlay                         3-3-0    7.3724
633        Towson                          2-3-0    7.3668
634        UW-Oshkosh                      3-2-0    7.3499
635        Alderson-Broaddus               4-0-0    7.3488
636        Murray St                       3-2-0    7.3286
637        Lake Erie                       2-3-0    7.3133
638        UW-Stevens Point                5-0-0    7.2346
639        Connecticut                     0-1-0    7.1539
640        Tennessee-Martin                3-2-0    7.1328
641        Notre Dame OH                   3-2-0    7.0067
642        Taylor                          3-1-0    6.981
643        Wagner                          3-2-0    6.8321
644        Slippery Rock                   4-1-0    6.7902
645        William & Mary                  0-2-0    6.7418
646        North Dakota                    4-2-0    6.7146
647        Texas-San Antonio               0-2-0    6.686
648        Tuskegee                        6-1-0    6.6541
649        Texas Southern                  1-2-0    6.5556
650        Connecticut                     0-1-0    6.4571
651        Michigan Tech                   0-1-0    6.4563
652        Ursinus                         4-1-0    6.4216
653        Jacksonville FL                 5-1-0    6.3859
654        Pacific OR                      3-1-0    6.3373
655        Pacific OR                      3-1-0    6.2496
656        Massachusetts                   0-2-0    6.1931
657        Campbellsville                  4-1-0    6.1005
658        Wabash                          5-0-0    6.0993
659        Lindsey Wilson                  5-1-0    6.094
660        St Francis IN                   3-2-0    6.027
661        Findlay                         2-3-0    6.0259
662        Idaho                           1-5-0    6.0229
663        Weber St                        1-5-0    6.0173
664        Morningside                     6-0-0    5.9959
665        Texas-San Antonio               0-1-0    5.9711
666        St Lawrence                     5-0-0    5.9071
667        Wheaton                         5-0-0    5.8512
668        Elon                            1-4-0    5.836
669        VMI                             2-2-0    5.8149
670        Wagner                          0-1-0    5.8081
671        Frostburg St                    2-1-0    5.8012
672        Prairie View A&M                4-2-0    5.7623
673        West Georgia                    3-1-0    5.6926
674        Lehigh                          1-4-0    5.6543
675        Chadron St                      4-1-0    5.6345
676        Azusa Pacific                   4-1-0    5.6225
677        Carson-Newman                   3-2-0    5.6118
678        Pennsylvania                    0-1-0    5.6011
679        Norfolk St                      0-2-0    5.5971
680        UW-Oshkosh                      0-2-0    5.5848
681        Doane                           5-0-0    5.5035
682        St Francis PA                   2-4-0    5.4579
683        Tulsa                           0-4-0    5.4294
684        SE Oklahoma St                  5-1-0    5.4254
685        California PA                   3-2-0    5.4179
686        Southeastern U.                 5-0-0    5.3863
687        Louisiana College               4-1-0    5.377
