Rank	Team                            W-L-T	Schedule Factor
664		Westfield St                    0-6-0	331
665		Friends                         0-6-0	419
666		Salve Regina                    0-6-0	311
667		Nichols                         0-6-0	330
668		Waldorf                         0-6-0	4
669		Adrian                          0-6-0	415
670		Mass Maritime                   0-6-0	680
671		Rose-Hulman                     0-6-0	481
672		Carroll WI                      0-6-0	491
673		Mt St Joseph                    0-6-0	543
674		Western New England             0-6-0	325
675		Mayville St                     0-6-0	5
676		Western Conn St                 0-6-0	679
677		Beloit                          0-6-0	392
678		Worcester St                    0-6-0	333
679		Trine                           0-6-0	676
680		Fitchburg St                    0-6-0	309
681		Ripon                           0-6-0	601
682		Bethel KS                       0-6-0	130
683		Illinois College                0-6-0	465
684		Benedictine IL                  0-6-0	357
685		Aurora                          0-6-0	464
686		Dakota St                       0-6-0	107
687		Maine Maritime                  0-6-0	685
688		Olivet                          0-6-0	563
689		Concordia IL                    0-6-0	690
690		Macalester                      0-6-0	512
691		Concordia WI                    0-6-0	552
692		Oklahoma Baptist                0-6-0	227
693		Grinnell                        0-6-0	687
694		Knox                            0-6-0	490
695		MIT                             0-6-0	531
696		Norwich                         0-6-0	559
697		Wisconsin Lutheran              0-6-0	669
698		Lakeland                        0-6-0	492
699		Haskell                         0-6-0	131
700		Anna Maria                      0-6-0	332
701		Rockford                        0-6-0	576
702		Gallaudet                       0-6-0	675
703		Becker                          0-6-0	310
704		Mount Ida                       0-6-0	320
705		SUNY-Maritime                   0-6-0	328
706		Presentation                    0-6-0	507
707		Lawrence                        0-6-0	575
708		Husson                          0-6-0	334
709		Castleton St                    0-6-0	384
710		Maranatha Baptist               0-6-0	514
711		Trinity Bible                   0-6-0	253
712		Crown                           0-6-0	454
713		Minnesota-Morris                0-6-0	527
714		MacMurray                       0-6-0	406
715		Iowa Wesleyan                   0-6-0	473
716		Westminster MO                  0-6-0	657
717		Eureka                          0-6-0	489
718		Greenville                      0-6-0	449
719		Northwestern MN                 0-6-0	557
720		St Scholastica                  0-6-0	602
721		Martin Luther                   0-6-0	513
