Rank     Team                            W-L-T    Schedule Factor
519        Lambuth                         0-1-0    16.4164
520        Hillsdale                       3-2-0    16.3101
521        Saginaw Valley St               3-2-0    16.2799
522        UC-Davis                        2-3-0    16.2627
523        Alabama A&M                     0-1-0    16.0873
524        Gardner-Webb                    0-2-0    16.0396
525        Alabama St                      0-2-0    15.9636
526        Northern Colorado               1-2-0    15.9617
527        Northwestern St                 3-3-0    15.925
528        North Dakota St                 1-2-0    15.9075
529        Arkansas St                     3-2-0    15.8772
530        Jacksonville St                 5-1-0    15.8382
531        Wayne St NE                     0-1-0    15.8231
532        Missouri S&T                    0-2-0    15.7736
533        James Madison                   3-3-0    15.7661
534        Elon                            4-1-0    15.6751
535        Missouri St                     1-0-0    15.6652
536        Cal Poly SLO                    4-1-0    15.6334
537        Western Michigan                3-3-0    15.6285
538        Western Carolina                2-3-0    15.6195
539        Massachusetts                   3-3-0    15.5731
540        Nebraska Wesleyan               0-1-0    15.5702
541        Dakota St                       0-1-0    15.5702
542        Southern Oregon                 0-1-0    15.5097
543        Simon Fraser                    0-1-0    15.5097
544        Western Oregon                  0-1-0    15.5097
545        Olivet Nazarene                 0-1-0    15.4186
546        Dakota Wesleyan                 0-1-0    15.3896
547        Morningside                     0-1-0    15.3896
548        MidAmerica Nazarene             0-1-0    15.3896
549        McKendree                       0-1-0    15.3896
550        Wayne St MI                     5-1-0    15.3855
551        Northern St SD                  1-3-0    15.3123
552        Richmond                        5-1-0    15.2459
553        Stephen F. Austin               4-0-0    15.2198
554        Dixie St                        0-3-0    15.2098
555        McNeese St                      3-2-0    15.1228
556        Youngstown St                   3-3-0    15.1145
557        Delta St                        0-1-0    14.9412
558        Lambuth                         0-1-0    14.9412
559        Brown                           0-1-0    14.9245
560        Fort Lewis                      0-1-0    14.8436
561        SE Missouri St                  4-3-0    14.8367
562        Portland St                     1-4-0    14.8081
563        South Carolina St               0-1-0    14.7437
564        Michigan Tech                   5-0-0    14.7256
565        Western Oregon                  0-1-0    14.6506
566        Samford                         1-3-0    14.5856
567        Middle Tennessee St             3-4-0    14.5698
568        Murray St                       4-1-0    14.5609
569        Northern Colorado               2-2-0    14.4981
570        Western New Mexico              0-3-0    14.4793
571        Winona St                       4-2-0    14.4452
572        Minn St-Mankato                 2-3-0    14.433
573        Harding                         1-3-0    14.4327
574        Emporia St                      1-4-0    14.4201
575        Georgia Southern                4-2-0    14.4121
576        Grand Valley St                 7-0-0    14.3613
577        Murray St                       2-4-0    14.3202
578        Moravian                        0-1-0    14.242
579        Montana                         2-3-0    14.2167
580        Heidelberg                      0-1-0    14.1939
581        Delaware Valley                 0-1-0    14.1939
582        Alfred                          0-1-0    14.1939
583        Eastern Illinois                1-3-0    14.18
584        Liberty                         0-1-0    14.175
585        Concordia-St Paul               3-3-0    14.0928
586        South Dakota                    3-2-0    14.0852
