Away Team, Away Score, Home Team, Home Score
Wisconsin,34,Purdue,13
Bridgewater VA,31,Randolph-Macon,26
Villanova,14,Rhode Island,17
Birmingham-Southern,41,Rhodes,19
James Madison,10,Richmond,13
Central Conn St,24,Robert Morris,42
St Lawrence,14,Rochester,34
Montana St-Northern,17,Rocky Mountain,49
Anderson,14,Rose-Hulman,48
Western Conn St,0,Rowan,57
Hobart,21,RPI,24
Portland St,15,Sacramento St,28
Albany NY,35,Sacred Heart,23
Nichols,0,Salve Regina,6
McNeese St,33,Sam Houston St,28
Wofford,10,Samford,3
Morehead St,0,San Diego,34
Colorado St,19,San Diego St,24
Northwestern St,35,SE Louisiana St,16
SW Baptist,14,SE Missouri St,40
Angelo St,40,SE Oklahoma St,33
West Liberty St,82,Seton Hill,36
North Carolina Wesleyan,38,Shenandoah,0
Union KY,37,Shorter,31
Gannon,24,Slippery Rock,20
Henderson St,31,South Alabama,37
Arkansas,41,South Carolina,20
Howard,14,South Carolina St,54
Cal Poly SLO,38,South Dakota,24
Missouri St,10,South Dakota St,31
Arkansas-Monticello,28,Southern Arkansas,23
Arizona St,33,Southern Cal,34
Texas Southern,54,Southern U.,7
Dixie St,0,Southern Utah,52
Webber Int'l,37,Southern Virginia,20
Grand View,20,St Ambrose,17
Shaw,10,St Augustine's,6
Bemidji St,14,St Cloud St,35
Quincy,3,St Francis IL,35
Bryant,48,St Francis PA,10
Springfield,55,St John Fisher,49
Missouri S&T,27,St Joseph's IN,21
Sterling,21,St Mary KS,13
Lake Forest,0,St Norbert,28
St John's MN,42,St Olaf,17
Virginia St,34,St Paul's,14
Northwestern MN,7,St Scholastica,10
Carleton,7,St Thomas,38
St Francis IN,6,St Xavier,30
Arizona,17,Stanford,42
Kentucky St,12,Stillman,23
Assumption,0,Stonehill,18
Mary Hardin-Baylor,76,Sul Ross St,12
Haskell,15,SW Assem of God,29
Central Oklahoma,24,SW Oklahoma St,31
Louisville,28,Syracuse,20
Southwestern KS,28,Tabor,55
East Central OK,36,TAMU-Commerce,33
Midwestern St,7,TAMU-Kingsville,27
Incarnate Word,27,Tarleton St,41
Olivet Nazarene,13,Taylor,40
Eastern Illinois,31,Tennessee St,28
Oklahoma,19,Texas A&M,33
Langston,45,Texas College,0
Mississippi College,23,Texas Lutheran,42
Central Arkansas,49,Texas St-San Marcos,17
Missouri,17,Texas Tech,24
Elon,27,The Citadel,16
Wash & Jeff,47,Thiel,14
Southern Miss,46,Tulane,30
Rice,27,Tulsa,64
Lane,6,Tuskegee,28
Oregon St,14,UCLA,17
North Greenville,27,UNC-Pembroke,10
Merchant Marine,28,Union NY,21
Central St OH,12,Urbana,40
TCU,47,Utah,7
New Mexico St,22,Utah St,27
SMU,14,UTEP,28
UW-Eau Claire,14,UW-La Crosse,49
UW-Whitewater,48,UW-Oshkosh,21
UW-Stout,28,UW-Platteville,23
UW-Stevens Point,58,UW-River Falls,13
West Georgia,13,Valdosta St,31
Florida,55,Vanderbilt,14
Campbellsville,45,Virginia-Wise,42
Coastal Carolina,31,VMI,3
Monmouth NJ,20,Wagner,31
Boston College,23,Wake Forest,13
William Penn,58,Waldorf,10
Trinity Int'l,17,Walsh,42
Emporia St,0,Washburn,42
Hampden-Sydney,27,Washington and Lee,38
California,20,Washington St,13
Indianapolis,27,Wayne St MI,41
Augustana SD,14,Wayne St NE,26
Thomas More,14,Waynesburg,10
Millersville,14,West Chester,45
Abilene Christian,41,West Texas A&M,34
WV Wesleyan,50,West Virginia St,28
Florida Atlantic,17,Western Kentucky,16
UMass-Dartmouth,14,Western New England,37
Colorado St-Pueblo,37,Western St CO,3
Fitchburg St,14,Westfield St,17
St Vincent,21,Westminster PA,14
North Central,28,Wheaton,6
Redlands,26,Whittier,14
Wilkes,21,Widener,41
Lewis & Clark,24,Willamette,65
Mars Hill,29,Wingate,48
Mary,21,Winona St,19
Wabash,17,Wittenberg,34
Kenyon,6,Wooster,31
Susquehanna,14,WPI,7
Black Hills St,0,Dickinson St,21
Jamestown,48,Mayville St,14
South Dakota Tech,7,Minot St,30
Dakota St,39,Valley City St,62
Toledo,30,Northern Illinois,65
Miami OH,24,Bowling Green,21
East Carolina,54,Alabama-Birmingham,42
Pittsburgh,28,Connecticut,30
South Carolina St,32,Morgan St,10
Arkansas-Monticello,14,South Alabama,31
Grambling St,34,Texas Southern,41
Valdosta St,21,West Alabama,24
Ball St,20,Buffalo,3
Boise St,52,Idaho,14
SW Oklahoma St,17,Abilene Christian,47
New Mexico,23,Air Force,48
Mississippi St,10,Alabama,30
Wagner,14,Albany NY,24
Adrian,24,Alma,13
Manchester,34,Anderson,37
Central Oklahoma,35,Angelo St,49
Wofford,13,Appalachian St,43
Webber Int'l,40,Apprentice,7
Southern Cal,24,Arizona,21
Stanford,17,Arizona St,13
UTEP,21,Arkansas,58
Western Kentucky,36,Arkansas St,35
SW Baptist,14,Arkansas Tech,42
Jackson St,52,Arkansas-Pine Bluff,30
Lake Erie,17,Ashland,87
American Int'l,35,Assumption,10
Georgia,31,Auburn,49
Illinois Wesleyan,17,Augustana IL,20
Upper Iowa,0,Augustana SD,32
Murray St,61,Austin Peay,35
Texas A&M,42,Baylor,30
Minnesota-Crookston,3,Bemidji St,45
Stonehill,17,Bentley,27
McPherson,52,Bethany KS,35
St Vincent,28,Bethany WV,35
Augsburg,6,Bethel MN,19
Shorter,26,Bethel TN,36
Howard,20,Bethune-Cookman,35
Millsaps,28,Birmingham-Southern,17
Defiance,16,Bluffton,21
Doane,42,Briar Cliff,14
Buffalo St,56,Brockport St,45
Robert Morris,21,Bryant,27
Colgate,31,Bucknell,7
Occidental,0,Cal Lutheran,24
UC-Davis,22,Cal Poly SLO,21
Oregon,15,California,13
Cheyney,6,California PA,57
Marietta,31,Capital,34
Montana St-Northern,10,Carroll MT,35
Elmhurst,6,Carthage,28
Carnegie Mellon,0,Case Western Reserve,28
Bridgewater VA,38,Catholic,28
Sam Houston St,20,Central Arkansas,13
Southern Miss,31,Central Florida,21
Baker,34,Central Methodist,0
Western Oregon,16,Central Washington,21
LaGrange,7,Centre,48
Presbyterian,39,Charleston Southern,42
Samford,14,Chattanooga,48
Washington U.,10,Chicago,13
Methodist,10,Christopher Newport,49
Millersville,10,Clarion,49
Liberty,31,Coastal Carolina,45
Iowa St,14,Colorado,34
Nebraska-Kearney,53,Colorado Mines,55
Brigham Young,49,Colorado St,10
Cornell NY,17,Columbia,20
West Liberty St,56,Concord,33
Kentucky Wesleyan,35,Concordia AL,36
Aurora,45,Concordia IL,52
St Olaf,21,Concordia-Moorhead,24
Coe,47,Cornell IA,7
Ithaca,17,Cortland St,20
Cumberland TN,27,Cumberlands KY,52
Morningside,45,Dakota Wesleyan,8
Brown,35,Dartmouth,28
San Diego,29,Davidson,15
Widener,28,Delaware Valley,27
Butler,7,Drake,10
Buena Vista,14,Dubuque,21
Boston College,21,Duke,16
St Francis PA,17,Duquesne,41
Sul Ross St,28,East Texas Baptist,47
Rocky Mountain,34,Eastern Oregon,28
Southern Utah,24,Eastern Washington,31
East Stroudsburg,25,Edinboro,28
Furman,25,Elon,30
Guilford,3,Emory & Henry,27
MacMurray,21,Eureka,42
Culver-Stockton,31,Evangel,45
West Virginia St,38,Fairmont St,63
Lycoming,17,FDU-Florham,10
Maryville,23,Ferrum,21
Wayne St MI,44,Findlay,27
South Carolina,36,Florida,14
Hampton,12,Florida A&M,17
Louisiana-Lafayette,23,Florida Atlantic,24
Clemson,13,Florida St,16
New Mexico Highlands,13,Fort Lewis,36
Hanover,25,Franklin,48
Nevada,35,Fresno St,34
Salisbury,37,Frostburg St,6
Kutztown,27,Gannon,24
Westminster PA,24,Geneva,30
Lehigh,24,Georgetown DC,7
Belhaven,19,Georgetown KY,24
Miami FL,35,Georgia Tech,10
Franklin & Marshall,35,Gettysburg,57
Benedictine KS,24,Graceland,6
Shenandoah,44,Greensboro,16
Thiel,21,Grove City,35
Randolph-Macon,28,Hampden-Sydney,31
North Alabama,28,Harding,29
Mount Ida,12,Hartwick,27
Nebraska Wesleyan,14,Hastings,17
West Georgia,6,Henderson St,40
Tiffin,24,Hillsdale,31
Rochester,35,Hobart,34
Olivet,7,Hope,14
Tulsa,28,Houston,25
Simon Fraser,20,Humboldt St,66
Sacramento St,45,Idaho St,17
Minnesota,38,Illinois,34
Eastern Illinois,23,Illinois St,27
TAMU-Commerce,16,Incarnate Word,17
West Chester,10,Indiana PA,27
Ohio Dominican,17,Indianapolis,31
St Ambrose,49,Iowa Wesleyan,10
Campbell,24,Jacksonville FL,31
SE Missouri St,27,Jacksonville St,29
William & Mary,24,James Madison,30
Baldwin-Wallace,28,John Carroll,31
McDaniel,10,Johns Hopkins,34
Washington and Lee,45,Juniata,3
Army,45,Kent St,28
Vanderbilt,20,Kentucky,38
Denison,27,Kenyon,7
Holy Cross,37,Lafayette,27
Concordia WI,7,Lakeland,29
South Dakota,20,Lamar,24
Delta St,41,Lambuth,17
Albright,13,Lebanon Valley,28
Catawba,17,Lenoir-Rhyne,31
Linfield,52,Lewis & Clark,0
Missouri S&T,20,Lincoln MO,21
Shippensburg,41,Lock Haven,17
Luther,10,Loras,24
Hardin-Simmons,42,Louisiana College,44
South Florida,24,Louisville,21
Louisiana-Monroe,0,LSU,51
Endicott,38,Maine Maritime,35
Olivet Nazarene,21,Malone,56
Walsh,14,Marian IN,38
Dayton,41,Marist,34
Brevard,35,Mars Hill,28
Memphis,13,Marshall,28
Northern St SD,3,Mary,48
Texas Lutheran,3,Mary Hardin-Baylor,81
Delaware,45,Massachusetts,27
Grand View,17,McKendree,20
Texas St-San Marcos,6,McNeese St,36
Pacific OR,42,Menlo,44
RPI,29,Merchant Marine,27
Bloomsburg,37,Mercyhurst,56
Chadron St,31,Mesa St,21
Northern Michigan,0,Michigan Tech,12
North Texas,23,Middle Tennessee St,17
Northwestern IA,24,Midland,6
Northeastern St OK,8,Midwestern St,28
Wheaton,46,Millikin,0
St Cloud St,42,Minn St-Moorhead,16
McMurry,28,Mississippi College,17
Alabama A&M,21,Mississippi Valley St,7
Kansas St,28,Missouri,38
Washburn,23,Missouri Southern,7
Avila,7,Missouri Valley,42
Fort Hays St,21,Missouri Western,48
Central Conn St,49,Monmouth NJ,48
North Dakota,17,Montana,27
Montana Tech,27,Montana-Western,21
Muhlenberg,13,Moravian,14
Valparaiso,15,Morehead St,37
Western Conn St,25,Morrisville St,48
Muskingum,0,Mount Union,52
Central Michigan,37,Navy,38
Kansas,3,Nebraska,20
Rowan,27,New Jersey,7
Louisiana Tech,41,New Mexico St,20
Wingate,49,Newberry,33
Delaware St,21,Norfolk St,31
Virginia Tech,26,North Carolina,10
Wake Forest,3,North Carolina St,38
Averett,13,North Carolina Wesleyan,28
North Park,7,North Central,61
South Dakota St,24,North Dakota St,31
Weber St,27,Northern Arizona,26
Missouri St,14,Northern Iowa,38
Iowa,17,Northwestern,21
Nicholls St,37,Northwestern St,7
Ferris St,35,Northwood,41
Utah,3,Notre Dame,28
Urbana,32,Notre Dame OH,0
Pittsburg St,16,NW Missouri St,22
Southern Oregon,26,NW Oklahoma St,31
Allegheny,17,Oberlin,14
Heidelberg,14,Ohio Northern,35
Penn State,14,Ohio State,38
Hiram,24,Ohio Wesleyan,47
Bacone,20,OK Panhandle St,21
Texas Tech,7,Oklahoma,45
VMI,28,Old Dominion,45
Washington St,31,Oregon St,14
Friends,21,Ottawa,54
Merrimack,46,Pace,14
Willamette,21,Pacific Lutheran,24
Harvard,14,Pennsylvania,34
Haskell,3,Peru St,20
Kentucky Christian,14,Pikeville,44
Claremont-Mudd-Scripps,31,Pomona-Pitzer,30
Northern Colorado,35,Portland St,30
Alcorn St,27,Prairie View A&M,35
Michigan,27,Purdue,16
Waldorf,21,Quincy,17
Chapman,17,Redlands,21
Rhode Island,6,Richmond,15
Maranatha Baptist,14,Rockford,6
Earlham,15,Rose-Hulman,40
Syracuse,13,Rutgers,10
Grand Valley St,28,Saginaw Valley St,7
Utah St,38,San Jose St,34
North Carolina Central,21,Savannah St,28
Rhodes,20,Sewanee,16
Virginia St,7,Shaw,14
Glenville St,28,Shepherd,24
Wartburg,27,Simpson,14
Concordia NE,7,Sioux Falls,44
C.W. Post,42,Slippery Rock,38
Ouachita Baptist,52,Southern Arkansas,34
St Anselm,21,Southern Conn St,52
Western Illinois,10,Southern Illinois,20
Langston,27,Southern Nazarene,30
Alabama St,21,Southern U.,19
Kansas Wesleyan,72,Southwestern KS,48
Union NY,15,Springfield,26
Taylor,21,St Francis IN,33
Hamline,0,St John's MN,49
WPI,7,St Lawrence,27
SE Louisiana St,14,Stephen F. Austin,51
Bethel KS,14,Sterling,62
Central St OH,13,Stillman,44
Gardner-Webb,3,Stony Brook,55
Texas College,27,SW Assem of God,13
Concordia-St Paul,32,SW Minnesota St,14
St Mary KS,7,Tabor,27
SE Oklahoma St,24,TAMU-Kingsville,38
Eastern New Mexico,35,Tarleton St,10
San Diego St,35,TCU,40
Mississippi,14,Tennessee,52
Eastern Kentucky,42,Tennessee Tech,29
Tennessee St,0,Tennessee-Martin,37
Oklahoma St,33,Texas,16
Mt St Joseph,0,Thomas More,33
Maine,28,Towson,18
Albion,16,Trine,58
Austin,24,Trinity TX,28
Florida Int'l,52,Troy,35
Nebraska-Omaha,62,Truman St,61
Rice,49,Tulane,54
Carson-Newman,49,Tusculum,48
Faulkner,33,Union KY,47
Wyoming,16,UNLV,42
Dickinson,21,Ursinus,41
Alfred,37,Utica,20
UW-River Falls,45,UW-Eau Claire,42
UW-Platteville,24,UW-Stevens Point,45
UW-Oshkosh,14,UW-Stout,28
UW-La Crosse,0,UW-Whitewater,24
New Hampshire,31,Villanova,24
Maryland,42,Virginia,23
Lindsey Wilson,51,Virginia-Wise,22
DePauw,0,Wabash,47
Wash & Jeff,31,Waynesburg,30
Kean,10,Wesley,48
East Central OK,21,West Texas A&M,52
Cincinnati,10,West Virginia,37
Campbellsville,56,West Virginia Tech,35
Georgia Southern,28,Western Carolina,6
Eastern Michigan,30,Western Michigan,45
Colorado St-Pueblo,45,Western New Mexico,17
Adams St,28,Western St CO,19
St Scholastica,34,Westminster MO,28
La Verne,49,Whittier,23
Puget Sound,35,Whitworth,63
King's PA,17,Wilkes,21
Lindenwood,29,William Jewell,18
Montclair St,21,William Paterson,8
St Francis IL,7,William Penn,24
Otterbein,37,Wilmington,14
Wayne St NE,13,Winona St,24
Indiana,20,Wisconsin,83
Benedictine IL,35,Wisconsin Lutheran,14
Wittenberg,22,Wooster,17
Charleston WV,21,WV Wesleyan,41
Princeton,13,Yale,14
Indiana St,30,Youngstown St,24
Carleton,13,Gustavus Adolphus,23
Minnesota-Duluth,45,Minn St-Mankato,21
Ohio U.,31,Temple,23
Miami OH,19,Akron,14
Bowling Green,14,Toledo,33
Georgia St,7,Alabama,63
SE Louisiana St,25,Nicholls St,27
Air Force,35,UNLV,20
UCLA,7,Washington,24
Fresno St,0,Boise St,51
Prairie View A&M,35,Alabama A&M,14
Memphis,15,Alabama-Birmingham,31
Monmouth NJ,19,Albany NY,28
SUNY-Maritime,0,Alfred,60
Notre Dame,27,Army,3
Northern Illinois,59,Ball St,21
Oklahoma,53,Baylor,24
Florida A&M,38,Bethune-Cookman,27
Virginia,13,Boston College,17
New Mexico,7,Brigham Young,40
Columbia,16,Brown,38
Duquesne,37,Bryant,29
Eastern Michigan,21,Buffalo,17
Stanford,48,California,14
Bloomsburg,28,California PA,26
Azusa Pacific,21,Carroll MT,35
McNeese St,24,Central Arkansas,28
St Francis PA,13,Central Conn St,23
West Texas A&M,35,Central Missouri,55
Rutgers,38,Cincinnati,69
Charleston Southern,3,Coastal Carolina,70
Kansas St,36,Colorado,44
Pennsylvania,31,Cornell NY,7
Endicott,35,Cortland St,49
Villanova,28,Delaware,21
Salisbury,12,Delaware Valley,23
Trine,45,DePauw,35
Austin Peay,3,Eastern Kentucky,17
Idaho St,7,Eastern Washington,34
Western Carolina,14,Elon,45
Appalachian St,10,Florida,48
Colgate,47,Fordham,12
Georgia Southern,32,Furman,28
VMI,7,Gardner-Webb,10
Marist,7,Georgetown DC,14
Duke,20,Georgia Tech,30
Colorado Mines,13,Grand Valley St,35
Montclair St,16,Hampden-Sydney,14
Yale,21,Harvard,28
San Jose St,7,Hawai`i,41
Bucknell,9,Holy Cross,34
Delaware St,53,Howard,43
Ohio State,20,Iowa,17
Missouri,14,Iowa St,0
Alcorn St,14,Jackson St,27
Lebanon Valley,14,Johns Hopkins,44
Oklahoma St,48,Kansas,14
Lehigh,20,Lafayette,13
OK Panhandle St,6,Lamar,44
Stony Brook,28,Liberty,54
St Francis IN,46,Lindenwood,38
Cal Lutheran,26,Linfield,42
Florida Int'l,38,Louisiana-Lafayette,17
North Texas,37,Louisiana-Monroe,49
West Virginia,17,Louisville,10
Mississippi,36,LSU,43
James Madison,14,Maine,10
Christopher Newport,7,Mary Hardin-Baylor,59
Florida St,30,Maryland,16
McKendree,38,McPherson,14
Virginia Tech,31,Miami FL,17
Wisconsin,48,Michigan,28
Purdue,31,Michigan St,35
Georgetown KY,24,MidAmerica Nazarene,27
Arkansas,38,Mississippi St,31
North Dakota St,0,Missouri St,3
Montana St,21,Montana,16
Campbell,24,Morehead St,30
Hampton,21,Morgan St,16
Dickinson St,17,Morningside,38
St Lawrence,0,Mount Union,49
Tennessee St,23,Murray St,28
Arkansas St,19,Navy,35
New Mexico St,6,Nevada,52
Towson,19,New Hampshire,38
North Carolina St,29,North Carolina,25
South Carolina St,48,North Carolina A&T,3
Old Dominion,33,North Carolina Central,21
St Norbert,7,North Central,57
Campbellsville,16,North Greenville,42
Portland St,14,Northern Arizona,62
Illinois,48,Northwestern,27
Framingham St,27,Norwich,21
Missouri Western,24,NW Missouri St,28
Wittenberg,14,Ohio Northern,37
Southern Cal,7,Oregon St,36
Marian IN,35,Ottawa,20
Indiana,24,Penn State,41
Davidson,6,Presbyterian,42
Dartmouth,31,Princeton,0
Massachusetts,34,Rhode Island,37
East Carolina,38,Rice,62
Wagner,22,Sacred Heart,38
Texas St-San Marcos,29,Sam Houston St,31
The Citadel,13,Samford,12
Utah,38,San Diego St,34
Norfolk St,42,Savannah St,6
Shaw,6,Shepherd,40
NW Oklahoma St,14,Sioux Falls,33
Marshall,17,SMU,31
Troy,24,South Carolina,69
North Dakota,0,South Dakota St,21
Pittsburgh,17,South Florida,10
Indiana St,21,Southern Illinois,49
Houston,41,Southern Miss,59
Mount Ida,17,Springfield,26
Hillsdale,28,St Cloud St,42
RPI,13,St John Fisher,56
Benedictine IL,10,St Thomas,57
Cumberlands KY,19,St Xavier,66
Northwestern St,13,Stephen F. Austin,36
Connecticut,23,Syracuse,6
Jacksonville St,24,Tennessee Tech,35
Florida Atlantic,17,Texas,51
Nebraska,6,Texas A&M,9
Arkansas-Pine Bluff,13,Texas Southern,20
Weber St,21,Texas Tech,64
Washington and Lee,14,Thomas More,42
Central Florida,61,Tulane,14
UTEP,28,Tulsa,31
Sacramento St,16,UC-Davis,17
Idaho,28,Utah St,6
Franklin,21,UW-Whitewater,52
North Alabama,43,Valdosta St,20
Tennessee,24,Vanderbilt,10
Clemson,30,Wake Forest,10
Bethel MN,28,Wartburg,20
Franklin & Marshall,41,Wash & Jeff,54
Muhlenberg,14,Wesley,53
Northern Iowa,14,Western Illinois,30
Middle Tennessee St,27,Western Kentucky,26
Kent St,3,Western Michigan,38
Maine Maritime,41,Western New England,66
Coe,21,Wheaton,31
Moravian,26,Wilkes,14
Richmond,3,William & Mary,41
Morehouse,41,Wingate,63
Chattanooga,14,Wofford,45
Colorado St,0,Wyoming,44
Temple,3,Miami OH,23
Tuskegee,17,Alabama St,10
Texas A&M,24,Texas,17
Buffalo,14,Akron,22
Auburn,28,Alabama,27
UCLA,34,Arizona St,55
Western Michigan,41,Bowling Green,7
SMU,45,East Carolina,38
Northern Illinois,71,Eastern Michigan,3
Ohio U.,6,Kent St,28
Colorado,17,Nebraska,45
Boise St,31,Nevada,34
Arizona,29,Oregon,48
West Virginia,35,Pittsburgh,10
Louisville,40,Rutgers,13
Central Michigan,31,Toledo,42
Southern Miss,50,Tulsa,56
Central Missouri,55,Abilene Christian,41
Wingate,28,Albany St GA,30
LSU,23,Arkansas,31
Grand Valley St,6,Augustana SD,38
Washington,16,California,13
Marian IN,6,Carroll MT,38
South Carolina,29,Clemson,7
Western Illinois,17,Coastal Carolina,10
Cincinnati,17,Connecticut,38
Alfred,34,Cortland St,20
North Alabama,24,Delta St,47
North Carolina,24,Duke,19
Arkansas St,24,Florida Int'l,31
Florida,7,Florida St,31
Idaho,20,Fresno St,23
Georgia Tech,34,Georgia,42
South Carolina St,16,Georgia Southern,41
Missouri,35,Kansas,7
Shepherd,41,Kutztown,34
Louisiana-Lafayette,23,Louisiana-Monroe,22
Tulane,23,Marshall,38
Thomas More,7,Mary Hardin-Baylor,69
North Carolina St,31,Maryland,38
Central Florida,37,Memphis,17
Bloomsburg,14,Mercyhurst,28
South Florida,23,Miami FL,20
Morningside,10,MidAmerica Nazarene,34
Florida Atlantic,14,Middle Tennessee St,38
Iowa,24,Minnesota,27
St Cloud St,17,Minnesota-Duluth,20
Mississippi St,31,Mississippi,23
Delaware Valley,3,Mount Union,31
TCU,66,New Mexico,17
Hawai`i,59,New Mexico St,24
Ohio Northern,9,North Central,28
Robert Morris,17,North Dakota St,43
Kansas St,49,North Texas,41
Lehigh,14,Northern Iowa,7
Michigan,7,Ohio State,37
Oklahoma,47,Oklahoma St,41
Michigan St,28,Penn State,22
Indiana,34,Purdue,31
Alabama-Birmingham,23,Rice,28
UNLV,14,San Diego St,48
Louisiana Tech,45,San Jose St,38
McKendree,7,Sioux Falls,27
Notre Dame,20,Southern Cal,16
Grambling St,38,Southern U.,17
Linfield,17,St Thomas,24
St Francis IN,21,St Xavier,40
Oregon St,0,Stanford,38
Boston College,16,Syracuse,7
NW Missouri St,35,TAMU-Kingsville,31
Kentucky,14,Tennessee,24
Houston,20,Texas Tech,35
Western Kentucky,14,Troy,28
Brigham Young,16,Utah,17
Trine,31,UW-Whitewater,45
Wake Forest,34,Vanderbilt,13
Virginia,7,Virginia Tech,37
Montclair St,7,Wesley,44
Bethel MN,15,Wheaton,10
Northwestern,23,Wisconsin,70
Arizona St,30,Arizona,29
Illinois,23,Fresno St,25
Northern Illinois,21,Miami OH,26
Delta St,28,Albany St GA,7
Western Illinois,14,Appalachian St,42
South Carolina,17,Auburn,56
New Hampshire,45,Bethune-Cookman,20
Utah St,14,Boise St,50
St Xavier,5,Carroll MT,27
SMU,7,Central Florida,17
Pittsburgh,28,Cincinnati,10
Lehigh,20,Delaware,42
SE Missouri St,17,Eastern Washington,37
Troy,44,Florida Atlantic,7
Middle Tennessee St,28,Florida Int'l,27
St Augustine's,20,Fort Valley St,9
UNLV,21,Hawai`i,59
San Jose St,23,Idaho,26
Wofford,17,Jacksonville St,14
Nevada,35,Louisiana Tech,17
Shepherd,49,Mercyhurst,14
Augustana SD,13,Minnesota-Duluth,24
North Dakota St,42,Montana St,17
Alfred,7,Mount Union,37
UW-Whitewater,20,North Central,10
Central Missouri,20,NW Missouri St,37
Nebraska,20,Oklahoma,23
Oregon,37,Oregon St,20
Concordia-St Paul,9,Pittsburg St,13
MidAmerica Nazarene,0,Sioux Falls,38
Connecticut,19,South Florida,16
Bethel MN,12,St Thomas,7
Villanova,54,Stephen F. Austin,24
Southern Cal,28,UCLA,14
Florida St,33,Virginia Tech,44
Midwestern St,14,Washburn,45
Washington,35,Washington St,28
Mary Hardin-Baylor,9,Wesley,19
Rutgers,14,West Virginia,35
Georgia Southern,31,William & Mary,15
New Hampshire,3,Delaware,16
Texas Southern,11,Alabama St,6
Villanova,42,Appalachian St,24
Shepherd,17,Delta St,29
North Dakota St,31,Eastern Washington,38
NW Missouri St,13,Minnesota-Duluth,17
Bethel MN,14,Mount Union,34
Army,17,Navy,31
UW-Whitewater,27,Wesley,7
Georgia Southern,23,Wofford,20
Villanova,31,Eastern Washington,41
Georgia Southern,10,Delaware,27
Minnesota-Duluth,20,Delta St,17
Northern Illinois,40,Fresno St,17
UW-Whitewater,31,Mount Union,21
Carroll MT,10,Sioux Falls,7
Ohio U.,21,Troy,48
Brigham Young,52,UTEP,24
Louisville,31,Southern Miss,28
Boise St,26,Utah,3
Navy,14,San Diego St,35
Tulsa,62,Hawai`i,35
Florida Int'l,34,Toledo,32
Air Force,14,Georgia Tech,7
Iowa,27,Missouri,24
West Virginia,7,North Carolina St,23
Illinois,38,Baylor,14
East Carolina,20,Maryland,51
Arizona,10,Oklahoma St,36
Army,16,SMU,14
Kansas St,34,Syracuse,36
North Carolina,30,Tennessee,27
Nebraska,7,Washington,19
South Florida,31,Clemson,26
Central Florida,10,Georgia,6
Miami FL,17,Notre Dame,33
Florida St,26,South Carolina,17
Michigan St,7,Alabama,49
Penn State,24,Florida,37
Michigan,14,Mississippi St,52
Connecticut,20,Oklahoma,48
Wisconsin,19,TCU,21
Northwestern,38,Texas Tech,45
Stanford,40,Virginia Tech,12
Ohio State,31,Arkansas,26
Miami OH,35,Middle Tennessee St,21
Eastern Washington,20,Delaware,19
LSU,41,Texas A&M,24
Pittsburgh,27,Kentucky,10
Boston College,13,Nevada,20
Auburn,22,Oregon,19
