Rank     Team                            W-L-T    Rating
618        South Dakota                    0-5-0    9.1895
619        UW-Stevens Point                5-0-0    9.1742
620        Vanderbilt                      0-2-0    9.1167
621        Eastern Michigan                0-1-0    9.1017
622        Lake Erie                       2-3-0    9.0978
623        Norfolk St                      3-1-0    8.9559
624        Duquesne                        1-4-0    8.9455
625        The Citadel                     1-4-0    8.9174
626        Taylor                          3-1-0    8.8735
627        San Diego                       3-1-0    8.8616
628        North Greenville                5-1-0    8.8517
629        Alderson-Broaddus               4-0-0    8.8221
630        SE Louisiana                    2-3-0    8.7314
631        Michigan Tech                   0-1-0    8.2477
632        Ursinus                         4-1-0    8.2231
633        Pacific OR                      3-1-0    8.1982
634        Wagner                          3-2-0    8.1648
635        Tuskegee                        6-1-0    8.1148
636        St Francis PA                   2-4-0    8.1001
637        Mercyhurst                      3-2-0    8.092
638        North Alabama                   4-1-0    8.0331
639        Morningside                     6-0-0    7.9906
640        Lehigh                          2-3-0    7.944
641        Wabash                          5-0-0    7.9293
642        St Francis IN                   3-2-0    7.8732
643        Lindsey Wilson                  5-1-0    7.8639
644        Chadron St                      4-1-0    7.853
645        Campbellsville                  4-1-0    7.8447
646        Massachusetts                   0-1-0    7.811
647        Wheaton                         5-0-0    7.7825
648        Delaware St                     1-1-0    7.7657
649        Notre Dame OH                   3-2-0    7.6727
650        Weber St                        1-5-0    7.5798
651        Kansas                          0-1-0    7.5721
652        William & Mary                  0-2-0    7.5606
653        Lafayette                       1-5-0    7.5441
654        Lehigh                          1-4-0    7.4985
655        Doane                           5-0-0    7.4977
656        Texas Southern                  1-2-0    7.4761
657        Pacific OR                      3-1-0    7.4418
658        Slippery Rock                   4-1-0    7.4381
659        Wagner                          0-1-0    7.4341
660        VMI                             2-2-0    7.422
661        Presbyterian                    1-3-0    7.4157
662        SE Oklahoma St                  5-1-0    7.4145
663        Northern Arizona                3-3-0    7.3866
664        Ohio U.                         1-3-0    7.377
665        Louisiana College               4-1-0    7.3254
666        Pennsylvania                    0-1-0    7.2546
667        Azusa Pacific                   4-1-0    7.2213
668        Wittenberg                      4-1-0    7.1887
669        Wofford                         1-5-0    7.0734
670        UW-Oshkosh                      0-2-0    6.9908
671        Connecticut                     0-1-0    6.9814
672        Jacksonville FL                 5-1-0    6.9765
673        Findlay                         2-3-0    6.9712
674        St Lawrence                     5-0-0    6.8729
675        Southeastern U.                 5-0-0    6.8536
676        Wash & Jeff                     5-0-0    6.8347
677        Lycoming                        4-1-0    6.8271
678        Frostburg St                    2-1-0    6.7723
679        UNLV                            0-6-0    6.7504
680        Rochester                       3-0-0    6.74
681        SE Missouri St                  1-5-0    6.6492
682        West Georgia                    3-1-0    6.5884
683        Saginaw Valley St               2-3-0    6.544
684        St Lawrence                     3-1-0    6.4841
685        Ouachita Baptist                5-0-0    6.484
