Rank     Team                            W-L-T    Rating
475        Eastern Michigan                1-3-0    14.5815
476        Idaho                           0-4-0    14.5577
477        Albany NY                       5-1-0    14.5502
478        California PA                   4-0-0    14.5233
479        St Xavier                       6-1-0    14.4025
480        Idaho                           1-3-0    14.3372
481        North Texas                     1-6-0    14.3084
482        Boston College                  0-5-0    14.2602
483        Alabama-Birmingham              1-4-0    14.2452
484        Hillsdale                       3-3-0    14.2371
485        Alabama St                      3-3-0    14.2212
486        Miami FL                        0-1-0    14.208
487        Kentucky                        0-3-0    14.0531
488        Saginaw Valley St               3-2-0    14.0489
489        Eastern Michigan                0-1-0    14.034
490        Akron                           0-1-0    14.034
491        Clarion                         1-0-0    14.0
492        Concord                         4-2-0    13.9915
493        Simon Fraser                    3-2-0    13.9512
494        Midwestern St                   4-0-0    13.8997
495        Florida Atlantic                1-5-0    13.7869
496        Nicholls St                     0-2-0    13.7512
497        North Texas                     0-1-0    13.7505
498        Fordham                         4-1-0    13.613
499        Southern Miss                   0-1-0    13.5992
500        Stephen F. Austin               0-1-0    13.5992
501        Delaware St                     4-1-0    13.5752
502        Northern Colorado               3-2-0    13.5455
503        Abilene Christian               3-2-0    13.4856
504        Auburn                          0-2-0    13.4689
505        Bloomsburg                      5-2-0    13.434
506        Johnson C. Smith                4-0-0    13.4093
507        Bentley                         4-1-0    13.4066
508        Tarleton St                     3-1-0    13.389
509        Morningside                     9-0-0    13.2628
510        Wayne St MI                     2-1-0    13.2317
511        Cumberlands KY                  6-0-0    13.1049
512        Lindenwood MO                   4-0-0    13.0689
513        Illinois                        2-3-0    13.031
514        William Paterson                1-0-0    13.0
515        Concordia WI                    1-0-0    13.0
516        Arkansas-Pine Bluff             6-1-0    12.9029
517        Air Force                       1-5-0    12.8582
518        UW-La Crosse                    3-0-0    12.7934
519        Bethune-Cookman                 4-1-0    12.775
520        Missouri Valley                 7-1-0    12.7583
521        Charleston WV                   5-1-0    12.6567
522        Ouachita Baptist                3-1-0    12.4709
523        Charleston WV                   4-1-0    12.439
524        Augustana SD                    3-3-0    12.4201
525        Central Washington              2-3-0    12.4153
526        North Alabama                   2-3-0    12.3917
527        Florida A&M                     1-4-0    12.3736
528        Massachusetts                   0-3-0    12.3236
529        West Chester                    3-3-0    12.2747
530        Colgate                         4-4-0    12.2469
531        Georgetown KY                   5-1-0    12.2169
532        St Francis IN                   4-2-0    12.2032
533        South Dakota                    0-1-0    12.1405
534        Florida A&M                     3-2-0    12.1188
535        Azusa Pacific                   2-2-0    11.9097
536        New Haven                       5-0-0    11.9048
537        Northern St SD                  2-3-0    11.8848
538        South Alabama                   0-5-0    11.8654
539        UW-Platteville                  4-1-0    11.8368
540        Washburn                        4-1-0    11.7797
541        UC-Davis                        0-2-0    11.693
542        Navy                            0-1-0    11.6566
543        New Mexico Highlands            4-1-0    11.6331
544        Charleston Southern             4-1-0    11.6082
545        Western Carolina                1-4-0    11.5717
546        Humboldt St                     2-2-0    11.5401
547        Coastal Carolina                5-3-0    11.5225
548        SE Missouri St                  1-5-0    11.4888
549        Southern Miss                   0-6-0    11.4204
550        Ithaca                          4-1-0    11.3777
551        Lindenwood MO                   4-3-0    11.3496
552        Southern Oregon                 5-0-0    11.3309
553        Albany St GA                    3-0-0    11.2917
554        Pittsburg St                    3-2-0    11.2835
555        Illinois Wesleyan               4-0-0    11.2694
556        Elon                            3-3-0    11.259
557        Morgan St                       2-2-0    11.2401
558        Wagner                          4-2-0    11.238
559        North Dakota                    1-4-0    11.2208
560        Northeastern St OK              2-3-0    11.2177
561        St Ambrose                      5-0-0    11.1724
562        Fairmont St                     4-0-0    11.1216
563        VMI                             2-2-0    11.111
564        UC-Davis                        1-3-0    11.0863
565        Tuskegee                        5-1-0    11.0489
566        Tulane                          0-1-0    11.0273
567        Florida Atlantic                1-0-0    11.0
568        Richmond                        4-2-0    10.9847
569        Northwestern St                 0-1-0    10.9477
570        Muhlenberg                      4-0-0    10.9068
571        Hawai`i                         0-2-0    10.8942
572        Miami OH                        1-6-0    10.8298
573        East Stroudsburg                3-2-0    10.801
574        William & Mary                  1-4-0    10.8007
575        Portland St                     1-5-0    10.6904
576        North Central                   6-1-0    10.6192
577        Memphis                         1-4-0    10.5629
578        Portland St                     2-3-0    10.5121
579        Wagner                          5-1-0    10.4469
580        St Francis PA                   3-1-0    10.4201
581        McMurry                         6-0-0    10.234
582        Wayne St NE                     4-2-0    10.2306
583        SE Missouri St                  2-2-0    10.2098
584        Truman St                       0-1-0    10.2087
585        Mary                            2-3-0    10.1551
586        North Central                   3-2-0    10.14
587        Purdue                          0-1-0    10.1051
588        Maine                           4-1-0    10.0818
589        Wesley                          5-1-0    10.0406
590        Edinboro                        3-2-0    10.0024
591        Maryland                        1-0-0    10.0
