Rank     Team                            W-L-T    Schedule Factor
467        UTEP                            4-1-0    20.2452
468        Montana Tech                    0-1-0    20.0654
469        Towson                          0-1-0    20.0266
470        Elon                            0-1-0    20.0266
471        Northern Iowa                   4-1-0    19.909
472        Eastern Washington              3-2-0    19.8661
473        Augsburg                        0-2-0    19.8058
474        Duquesne                        1-4-0    19.7455
475        James Madison                   3-1-0    19.71
476        Tiffin                          2-2-0    19.7054
477        Michigan Tech                   4-0-0    19.658
478        Gardner-Webb                    0-3-0    19.6491
479        Bowie St                        0-1-0    19.5797
480        Stephen F. Austin               3-2-0    19.5141
481        Malone                          0-2-0    19.4048
482        Grand Valley St                 3-2-0    19.3751
483        Eastern Michigan                2-1-0    19.2963
484        Central Arkansas                5-1-0    19.2216
485        North Texas                     3-2-0    19.1912
486        Savannah St                     0-2-0    19.1697
487        Wyoming                         3-1-0    19.1543
488        SE Missouri St                  1-5-0    19.1492
489        Arkansas-Pine Bluff             0-3-0    19.0728
490        Ohio Dominican                  3-1-0    19.0428
491        SE Oklahoma St                  0-1-0    18.9633
492        SW Oklahoma St                  0-1-0    18.9633
493        South Alabama                   3-0-0    18.8816
494        Northern Arizona                4-0-0    18.8718
495        Walsh                           1-3-0    18.8701
496        Wagner                          0-1-0    18.7774
497        UW-La Crosse                    0-2-0    18.7517
498        Elon                            0-3-0    18.7443
499        Stillman                        0-1-0    18.7416
500        Robert Morris PA                1-2-0    18.6812
501        Lake Erie                       2-3-0    18.4978
502        Bryant                          3-1-0    18.4901
503        St Francis PA                   2-4-0    18.4334
504        Tusculum                        0-1-0    18.4102
505        Southern Oregon                 4-1-0    18.1581
506        Benedict                        0-1-0    18.0222
507        Furman                          0-2-0    18.0081
508        Tarleton St                     4-2-0    17.9949
509        Lock Haven                      0-1-0    17.9825
510        Stonehill                       0-1-0    17.9825
511        Malone                          1-2-0    17.9757
512        Tennessee Tech                  0-2-0    17.9427
513        New Hampshire                   6-0-0    17.9188
514        Utica                           0-1-0    17.9057
515        Frostburg St                    0-1-0    17.9057
516        Alfred St                       0-1-0    17.9057
517        Youngstown St                   5-2-0    17.8884
518        Mississippi Valley St           0-1-0    17.7665
519        TAMU-Kingsville                 1-2-0    17.7432
520        Wingate                         0-1-0    17.7342
521        The Citadel                     3-3-0    17.6946
522        Central Conn St                 0-2-0    17.6639
523        Grand Valley St                 3-3-0    17.6634
524        Edward Waters                   0-1-0    17.6128
525        Jackson St                      0-1-0    17.6128
526        Chattanooga                     4-1-0    17.5985
527        Capital                         0-1-0    17.5257
528        Baldwin Wallace                 0-1-0    17.5257
529        Northern Michigan               2-3-0    17.4966
530        Jacksonville St                 4-0-0    17.4178
531        Houston                         3-2-0    17.3697
532        West Texas A&M                  1-3-0    17.2277
